oldCode,oldName,oldCategoryGuess,suggestedProductId,suggestedProductName,newCategory,matchType,confidence,ownerDecision,note
"0129","แม่พิมพ์","เหล็ก","prod_mqgp9a1i7bviukked5gxa43v","แม่พิมพ์,เหล็กแข็ง","เหล็ก","CONTAINS",85,"","system มี ""แม่พิมพ์"" หมวดเหล็ก"
"0203","อลูมิเนียมสายไฟ","อลูมิเนียม","prod_mqgp9csvq0takfp04k5d2dv6","อลูมีเนียมสายไฟ","อลูมีเนียม","PREFIX_MATCH",75,"","เหมือนกันต่างแค่สะกด อลูมิ/อลูมี"
"0210","อลูมิเนียมตูดกะทะ","อลูมิเนียม","prod_mqgp9edcxnxkocxfu0odbayj","อลูมีเนียมตูดกะทะ","อลูมีเนียม","PREFIX_MATCH",75,"","เหมือนกันต่างแค่สะกด อลูมิ/อลูมี"
"0211","อลูมิเนียมมุ้งลวด","อลูมิเนียม","prod_mqgp9gbfgywdc71yyps4y1ke","มุ้งลวด","อลูมีเนียม","CONTAINS_REVERSE",80,"","มุ้งลวดในระบบใหม่อยู่หมวดอลูมีเนียม — ยืนยัน category แล้ว"
"0212","อลูมิเนียมมู่ลี่","อลูมิเนียม","prod_mqgp9fz6pqfgrkxoh5nbgchi","อลูมีเนียมมู่ลี่","อลูมีเนียม","PREFIX_MATCH",75,"","เหมือนกันต่างแค่สะกด อลูมิ/อลูมี"
"0216","หม้อน้ำอลูมีเนียม","อลูมิเนียม","prod_mqgp9ejcaz0g567zocy5ub8j","หม้อน้ำอลูมีเนียม","อลูมีเนียม","EXACT",100,"","ชื่อตรงกัน 100%"
"0217","อลูมีเนียมเครื่อง","อลูมิเนียม","prod_mqgp9fgoheos0xee1ntl0r27","อลูมีเนียมเครื่อง","อลูมีเนียม","EXACT",100,"","ชื่อตรงกัน 100%"
"0218","อลูมีเนียมครีบหม้อน้ำ","อลูมิเนียม","prod_mqgp9fmounwsgwm9xyso0phf","อลูมีเนียมครีบหม้อน้ำ","อลูมีเนียม","EXACT",100,"","ชื่อตรงกัน 100%"
"0231","อลูมิเนียมฉากสี","อลูมิเนียม","prod_mqgp9fa7fylab8ztuya98a9p","อลูมีเนียมฉากสี","อลูมีเนียม","PREFIX_MATCH",75,"","เหมือนกันต่างแค่สะกด อลูมิ/อลูมี"
"0232","อลูมิเนียมเพลท","อลูมิเนียม","prod_mqgp9g5d78sw9tuoeuem3i1b","อลูมีเนียมเพลท","อลูมีเนียม","PREFIX_MATCH",75,"","เหมือนกันต่างแค่สะกด อลูมิ/อลูมี"
"0234","ปั้มกระป๋อง","อลูมิเนียม","prod_mqgp9gn9lfu942el9hx2undl","อลูมีเนียมปั้มกระป๋อง","อลูมีเนียม","CONTAINS",85,"","system มี ""ปั้มกระป๋อง"" หมวดอลูมีเนียม"
"0235","ฟรอยไม่ติดพลาสติก","อลูมิเนียม","prod_mqgp9gt8ki5lcwu67ps55equ","อลูมีเนียมฟรอยไม่ติดพลาสติก","อลูมีเนียม","CONTAINS",85,"","system มี ""ฟรอยไม่ติดพลาสติก"" หมวดอลูมีเนียม"
"0237","ตูดหม้อหุงข้าว","อลูมิเนียม","prod_mqgp9ew9ar8ckyjn69mr8aq2","อลูมีเนียมตูดหม้อหุงข้าว","อลูมีเนียม","CONTAINS",85,"","system มี ""ตูดหม้อหุงข้าว"" หมวดอลูมีเนียม"
"0238","ตูดกะทะไฟฟ้าล้วน","อลูมิเนียม","prod_mqgp9f3wvar7pgyoek1zen5k","อลูมีเนียมตูดกะทะไฟฟ้าล้วน","อลูมีเนียม","CONTAINS",85,"","system มี ""ตูดกะทะไฟฟ้าล้วน"" หมวดอลูมีเนียม"
"0301","ทองแดงปอกเงา","ทองแดง","prod_mqgp9aevp2yb18adpkyr3qtr","ทองแดงปอก","ทองแดง","CONTAINS_REVERSE",80,"","excel มี ""ทองแดงปอก"" เป็น subset"
"0302","ทองแดงปอกช็อต","ทองแดง","prod_mqgp9aevp2yb18adpkyr3qtr","ทองแดงปอก","ทองแดง","CONTAINS_REVERSE",80,"","excel มี ""ทองแดงปอก"" เป็น subset"
"0303","ทองแดงใหญ่","ทองแดง","prod_mqgp9arb37xlm6b54b0xa44v","ทองแดงใหญ่","ทองแดง","EXACT",100,"","ชื่อตรงกัน 100%"
"0305","ขี้กลึงทองแดง","ทองแดง","prod_new_1782125293874_e0b882e0b8b5e0b989e0b881","ขี้กลึงทองแดง","ทองแดง","EXACT",100,"","ชื่อตรงกัน 100%"
"0308","แดงชุบ","ทองแดง","prod_mqgp9bgavns7vxc8rzrlsn65","ทองแดงชุบ","ทองแดง","CONTAINS",85,"","system มี ""แดงชุบ"" ในชื่อ หมวดทองแดง"
"0401","ทองเหลืองหนา","ทองเหลือง","prod_mqgp9bspglewfbgukggj7wdy","เหลืองหนา","ทองเหลือง","CONTAINS_REVERSE",80,"","excel มี ""เหลืองหนา"" เป็น subset"
"0402","ทองเหลืองเนื้อแดง","ทองเหลือง","prod_mqgp9bmg24ygg55yytz9jphl","ทองเหลืองเนื้อแดง","ทองเหลือง","EXACT",100,"","ชื่อตรงกัน 100%"
"0403","ขี้กลึงทองเหลือง (เนื้อเขียว)","ทองเหลือง","prod_mqgp9bylqjal88hmac4ykwo0","ขี้กลึงทองเหลืองเนื้อเขียว","ทองเหลือง","EXACT",100,"","ชื่อตรงกัน 100% (เว้นวรรคต่างกัน)"
"0404","หม้อน้ำทองเหลือง","ทองเหลือง","prod_mqgp9c4i0fakfeg9387qaqwv","หม้อน้ำทองเหลือง","ทองเหลือง","EXACT",100,"","ชื่อตรงกัน 100%"
"0405","ขี้กลึงทองเหลือง (เนื้อแดง)","ทองเหลือง","prod_new_1782125294097_e0b882e0b8b5e0b989e0b881","ขี้กลึงทองเหลืองเนื้อแดง","ทองเหลือง","EXACT",100,"","ชื่อตรงกัน 100% (เว้นวรรคต่างกัน)"
"0407","ทองเหลืองเนื้อแดงติดเหล็ก","ทองเหลือง","prod_mqgp9bmg24ygg55yytz9jphl","ทองเหลืองเนื้อแดง","ทองเหลือง","CONTAINS_REVERSE",80,"","excel มี ""ทองเหลืองเนื้อแดง"" + ติดเหล็ก (contamination) หมวดเดียวกัน"
"0501","แสตนเลส 304","สแตนเลส","prod_mqgp9caefhv0hs74sfuubrmr","แสตนเลส 304","แสตนเลส","EXACT",100,"","ชื่อตรงกัน 100%"
"0502","แสตนเลส 202","สแตนเลส","prod_mqgp9cmnidvf2vafwiepqg0d","แสตนเลส 202","แสตนเลส","EXACT",100,"","ชื่อตรงกัน 100%"
"0503","แสตนเลสดูดติด","สแตนเลส","prod_new_1782125294328_e0b981e0b8aae0b895e0b899","แสตนเลสดูดติด","แสตนเลส","EXACT",100,"","ชื่อตรงกัน 100%"
"0504","แสตนเลส 304 (ยาว)","สแตนเลส","prod_mqgp9cgafv9ts0i3ze22h1vb","แสตนเลส 304 ยาวเกิน1เมตร","แสตนเลส","CONTAINS",85,"","system มี ""แสตนเลส 304"" + คำอธิบายความยาว หมวดเดียวกัน"
"0601","ตะกั่วนิ่ม","ตะกั่ว","prod_mqgp9hcgjuw6kt6ob5n75e4s","ตะกั่วนิ่ม","ตะกั่ว","EXACT",100,"","ชื่อตรงกัน 100%"
"0602","ตะกั่วแข็ง","ตะกั่ว","prod_mqgp9h6flpekakyzewnjsp1y","ตะกั่วแข็ง","ตะกั่ว","EXACT",100,"","ชื่อตรงกัน 100%"
"0603","ขี้กลึงตะกั่ว","ตะกั่ว","prod_new_1782125294561_e0b882e0b8b5e0b989e0b881","ขี้กลึงตะกั่ว","ตะกั่ว","EXACT",100,"","ชื่อตรงกัน 100%"
"0801","มอเตอร์","อื่นๆ","prod_mqgp9hpqehz5267b46pxo5ic","มอเตอร์(ตัวเล็ก)","อื่นๆ","CONTAINS",85,"","system มี ""มอเตอร์"" หมวดอื่นๆ — ระบบใหม่เพิ่ม (ตัวเล็ก) ระบุ size"
"0802","ของแกะ","อื่นๆ","prod_mqgp9hja0s6zbk3yvapoxjjs","ของแกะ","อื่นๆ","EXACT",100,"","ชื่อตรงกัน 100%"
"0803","คอมดำ","อื่นๆ","prod_mqgp9hwdo411xly6wmmeyg86","คอมดำ(ทองแดง)","อื่นๆ","CONTAINS",85,"","system มี ""คอมดำ"" หมวดอื่นๆ — (ทองแดง) เป็น descriptive suffix ไม่ใช่ cross-category"
"0816","ของแกะราคาสูง","อื่นๆ","prod_mqgp9hja0s6zbk3yvapoxjjs","ของแกะ","อื่นๆ","CONTAINS_REVERSE",80,"","excel มี ""ของแกะ"" เป็น subset หมวดเดียวกัน"
